idiom	example	meaning	origin	used_at	pronunciation_audio	tags	slugs
beyond a shadow of a doubt	["Are%20you%20absolutely%20sure%2C%20beyond%20a%20shadow%20of%20a%20doubt%2C%20that%20he%20is%20guilty%20of%20the%20crime%3F","A%20few%20years%20ago%20a%20great%20many%20scientists%20said%20they%20were%20sure%2C%20beyond%20a%20shadow%20of%20a%20doubt%2C%20that%20there%20was%20no%20such%20thing%20as%20global%20warming.%20Were%20they%20right%3F"]	["Something%20is%20true%20%22beyond%20a%20shadow%20of%20a%20doubt%22%20if%20there%20is%20no%20possibility%20at%20all%20that%20it%20isn%27t%20true.",""]	NA	NA	NA	B	beyond a shadow of a doubt
Beyond price	["Getting%20in%20to%20the%20school%20hall%20for%20the%20annual%20nativity%20play%20cost%20us%20%24","but%20seeing%20little%20Angie%20in%20the%20lead%20role%20was%20beyond%20price."]	["To%20be%20so%20prized%20and%20valuable%20as%20to%20not%20be%20obtainable%20by%20money."]	Britain, 16th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/beyond-price.mp3	money,excellence	beyond price
Big fish in a small pond	["Alison%20is%20the%20queen%20of%20the%20post%20room.%20She%27s%20a%20big%20fish%20in%20a%20small%20pond%20though%20-%20no%20one%20in%20the%20rest%20of%20the%20company%20knows%20who%20she%20is."]	["An%20important%20person%20but%20only%20so%20within%20a%20small%20area%20of%20influence."]	USA, late 19th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/big-fish-in-a-small-pond.mp3	nature,animals,water,america	big fish in a small pond
Binge watch	["We%20started%20off%20just%20planning%20to%20watch%20an%20episode%20of%20The%20Sopranos%20but%20ended%20up%20binge-watching%20the%20whole%20series."]	["Watch%20multiple%20episodes%20of%20a%20television%20programme%20in%20succession."]	USA, late 20th century.	Initially the USA, but quickly spreading Worldwide.	https://www.phrases.org.uk/idioms/audio/binge-watch.mp3	excess,america	binge watch
Bite off more than you can chew	["You%20should%20never%20have%20challenged%20Usain%20Bolt%20to%20a%20race%20-%20you%27ve%20really%20bitten%20off%20more%20than%20you%20can%20chew%20there."]	["Take%20on%20a%20task%20that%20is%20more%20than%20one%20can%20manage."]	NA	Worldwide.	https://www.phrases.org.uk/idioms/audio/bite-off-more-than-you-can-chew.mp3	food	bite off more than you can chew
Bite the dust	["Butch%20Cassidy%20and%20the%20Sundance%20Kid%20bit%20the%20dust%20at%20the%20end%20of%20the%20movie."]	["Die%2C%20especially%20in%20a%20violent%20or%20sudden%20way."]	Britain, 18th century. Probably influenced by a biblical passage.	Worldwide.	https://www.phrases.org.uk/idioms/audio/bite-the-dust.mp3	death,cliche	bite the dust
Bite your tongue	["I%20knew%20his%20wife%20wasn%27t%20faithful%20but%20I%20didn%27t%20like%20to%20say%20-%20I%20thought%20it%20best%20to%20bite%20my%20tongue."]	["Avoid%20speaking."]	Britain. Early (pre 1000AD) English, in the form of hold or keep one's tongue.	Worldwide.	https://www.phrases.org.uk/idioms/audio/bite-your-tongue.mp3	the_human_body,language,patience	bite your tongue
bite your tongue | hold your tongue	["I%20wanted%20to%20tell%20Carlos%20he%20was%20being%20stupid%2C%20but%20I%20bit%20my%20tongue%20and%20just%20sat%20there.","You%27re%20going%20to%20have%20to%20learn%20to%20hold%20your%20tongue%20instead%20of%20saying%20whatever%20comes%20into%20your%20head."]	["If%20you%20bite%20your%20tongue%2C%20or%20hold%20your%20tongue%2C%20you%20force%20yourself%20not%20to%20say%20something%20you%20really%20want%20to%20say.",""]	NA	NA	NA	B,Body	bite your tongue,hold your tongue
Blood blister	["There%20were%20five%20of%20us%20at%20home%20-%20three%20brothers%20and%20two%20blood%20blisters."]	["Cockney%20rhyming%20slang%20for%20sister."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/blood-blister.mp3	family,cockney_rhyming_slang	blood blister
Blood is thicker than water	["It%20was%20just%20me%20and%20his%20son%20in%20the%20job%20interview.%20I%20had%20no%20chance%2C%20blood%20is%20thicker%20than%20water%20you%20know."]	["Family%20loyalties%20are%20stronger%20than%20those%20to%20other%20people."]	Britain. Probably coined by Sir Walter Scott, 1815.	Worldwide.	https://www.phrases.org.uk/idioms/audio/blood-is-thicker-than-water.mp3	family,nature,aphorism	blood is thicker than water
Blow a raspberry	["Not%20good%20timing%20-%20we%20were%20sitting%20at%20the%20table%20when%20Granny%20said%20grace%20and%20he%20let%20go%20a%20raspberry."]	["Cockney%20rhyming%20slang%20for%20fart."]	Britain.	NA	https://www.phrases.org.uk/idioms/audio/blow-a-raspberry.mp3	cockney_rhyming_slang,food,fruit	blow a raspberry
blow your own horn | blow your own trumpet	["I%20hate%20the%20way%20Barry%20always%20blows%20his%20own%20horn%2C%20and%20I%20get%20sick%20of%20hearing%20about%20all%20the%20amazing%20things%20he%27s%20done.","Lorraine%20says%20that%20if%20you%20want%20to%20be%20successful%20in%20the%20fashion%20business%2C%20you%20really%20have%20to%20blow%20your%20own%20trumpet."]	["If%20you%20blow%20your%20own%20horn%2C%20or%20blow%20your%20own%20trumpet%2C%20you%20proudly%20boast%20about%20your%20own%20talents%20and%20successes.",""]	NA	NA	NA	B,Music	blow your own horn,blow your own trumpet
Blue plate special	["We%20were%20hungry%20but%20broke.%20The%20blue%20plate%20special%20was%20our%20only%20option."]	["A%20set%20meal%20provided%20at%20a%20reduced%20price."]	USA, early 20th century.	USA.	https://www.phrases.org.uk/idioms/audio/blue-plate-special.mp3	food,america	blue plate special
Boat race	["Stupid%20am%20I%21%20Look%20into%20my%20boat%20and%20say%20that%20again%21"]	["Cockney%20rhyming%20slang%20for%20face."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/boat-race.mp3	cockney_rhyming_slang,sport,the_human_body	boat race
Bottle and glass	["He%20slipped%20on%20those%20wet%20leaves%20by%20the%20gate.%20Legs%20in%20the%20air%20and%20landed%20on%20his%20bottle."]	["Cockney%20rhyming%20slang%20for%20arse."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/bottle-and-glass.mp3	the_human_body,cockney_rhyming_slang	bottle and glass
Bought the farm	["Henry%27s%20parachute%20failed%20at%20","%2C","feet%20-%20he%20really%20bought%20the%20farm."]	["Died%2C%20especially%20in%20a%20violent%20way%20which%20may%20give%20rise%20to%20an%20insurance%20claim."]	USA, 20th century.	USA.	https://www.phrases.org.uk/idioms/audio/bought-the-farm.mp3	death,euphemism,america	bought the farm
Brahms and Lizst	["Two%20bottles%20of%20wine%20at%20home%20and%20then%20four%20pints%20in%20the%20pub%20-%20he%20was%20totally%20Brahms%20by%20ten-o-clock."]	["Cockney%20rhyming%20slang%20for%20pissed."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/brahms-and-lizst.mp3	cockney_rhyming_slang,drink,slang,music	brahms and lizst
Brass monkey weather	["The%20weatherman%20says%20minus%20","%20degrees%20and%20strong%20winds%20for%20tomorrow.%20That%27s%20brass%20monkey%20weather."]	["Extremely%20cold%20weather.%20The%20full%20expression%20is%20%27Cold%20enough%20to%20freeze%20the%20balls%20off%20a%20brass%20monkey%27."]	The UK and USA in the early 20th century.	Worldwide, mostly among people in their 20/40s, as a slang expression.	https://www.phrases.org.uk/idioms/audio/brass-monkey-weather.mp3	animals,slang,weather	brass monkey weather
Brass tacks	["I%27m%20telling%20you%20brass%20tacks%20mate.%20Florida%20is%20bigger%20than%20England."]	["Cockney%20rhyming%20slang%20for%20facts."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/brass-tacks.mp3	cockney_rhyming_slang	brass tacks
Break a leg	["People%20often%20said%20%27break%20a%20leg%27%20to%20Olivier%2C%20but%20he%20didn%27t%20really%20need%20it."]	["A%20superstitious%20way%20to%20wish%20%27good%20luck%27%20to%20an%20actor%20before%20a%20performance%20while%20avoiding%20saying%20%27good%20luck%27%20out%20loud%2C%20which%20is%20considered%20unlucky."]	USA, 20th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/break-a-leg.mp3	theatre,the_human_body,america	break a leg
break the ice	["What%20do%20you%20do%20in%20a%20new%20class%20to%20help%20break%20the%20ice%20and%20get%20students%20talking%3F","Knowing%20how%20to%20break%20the%20ice%20is%20one%20of%20those%20social%20skills%20that%20will%20come%20with%20experience%20and%20maturity."]	["If%20you%20break%20the%20ice%20you%20say%20or%20do%20something%20to%20create%20a%20more%20relaxed%20atmosphere%20when%20meeting%20people%20for%20the%20first%20time.",""]	Probably metaphorical, from the fact that ships called ice-breakers cut channels through ice floes to allow other ships to pass through.	NA	NA	B	break the ice
break your heart	["I%20loved%20Monty%2C%20and%20he%20broke%20my%20heart%20when%20he%20left%20me%20and%20went%20off%20with%20someone%20else.","Sue%20says%20her%20heart%20has%20been%20broken%20too%20many%20times%2C%20and%20she%20won%27t%20let%20herself%20fall%20in%20love%20again."]	["If%20someone%20breaks%20your%20heart%2C%20they%20cause%20you%20a%20lot%20of%20emotional%20pain%20by%20ending%20a%20romantic%20relationship%2C%20or%20by%20deeply%20hurting%20you%20in%20some%20other%20way.",""]	NA	NA	NA	B,Body	break your heart
Breast is best	["I%20bottle-fed%20all%20my%20kids.%20I%20know%20they%20say%20breast%20is%20best%20but%20they%20all%20lived%20to%20tell%20the%20tale."]	["Slogan%20of%20breastfeeding%20campaign."]	NA	NA	https://www.phrases.org.uk/idioms/audio/breast-is-best.mp3	family,the_human_body,adage	breast is best
Bricks and mortar	["The%20girls%20got%20into%20trouble%20but%20her%20mother%20and%20I%20still%20love%20them%20-%20they%20are%20our%20bricks%20and%20mortars%20after%20all."]	["Cockney%20rhyming%20slang%20for%20daughter."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/bricks-and-mortar.mp3	cockney_rhyming_slang,family	bricks and mortar
Brighton Pier	["Quite%20appropriate%20that%20James%20lives%20with%20Julian%20in%20Brighton%20-%20they%20are%20Brighton%20Pier%20after%20all."]	["Cockney%20rhyming%20slang%20for%20queer%20%28i.e.%20homosexual%29."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/brighton-pier.mp3	cockney_rhyming_slang,location	brighton pier
Bring your A game	["The%20cup%20game%20tomorrow%20is%20the%20biggest%20in%20the%20club%27s%20history.%20Everyone%20in%20the%20team%20needs%20to%20bring%20his%20A%20game."]	["Perform%20to%20the%20best%20of%20your%20ability."]	USA, 20th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/bring-your-a-game.mp3	sport,effort,america	bring your a game
Brown bread	["That%20bird%20just%20landed%20on%20the%20live%20power%20cable.%20He%27s%20brown%20bread%20for%20sure."]	["Cockney%20rhyming%20slang%20for%20dead."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/brown-bread.mp3	cockney_rhyming_slang,death,food	brown bread
Brown out	["%20After%20the%20lightning%20struck%20there%20was%20a%20puff%20of%20smoke%20and%20everything%20went%20dim.%20Looks%20like%20a%20brown%20out."]	["%20A%20partial%20failure%20of%20the%20electricity%20supply.%20","%20The%20exposing%20of%20one%27s%20buttocks%20in%20public."]	Australia.	Common in Australia, but used elsewhere too.	https://www.phrases.org.uk/idioms/audio/brown-out.mp3	colour	brown out
Brum brum	["Mummy%2C%20my%20toy%20train%20goes%20chuff%2C%20chuff%2C%20chuff%20and%20my%20car%20goes%20brum%2C%20brum."]	["Child%27s%20play%20idiom%20expressing%20the%20sound%20of%20a%20vehicle."]	NA	Worldwide.	https://www.phrases.org.uk/idioms/audio/brum-brum.mp3	childhood,reduplication	brum brum
Bucket list	["I%27ve%20always%20wanted%20to%20go%20to%20Japan.%20I%20guess%20I%27ll%20add%20that%20to%20my%20bucket%20list."]	["A%20list%20of%20things%20you%20plan%20to%20do%20before%20you%20%27kick%20the%20bucket%27%20%28die%29.%20Often%20a%20list%20of%20fanciful%20ideas%20rather%20than%20of%20concrete%20plans."]	USA, late 20th century - popularized by the title of the film The Bucket List (2007).	Worldwide.	https://www.phrases.org.uk/idioms/audio/bucket-list.mp3	death,household_items,america	bucket list
Burn the midnight oil	["Sorry%2C%20I%20can%27t%20come%20to%20the%20pub.%20This%20report%27s%20due%20at%20","m%20and%20I%27ll%20need%20to%20burn%20the%20midnight%20oil%20if%20I%20am%20going%20to%20get%20it%20finished."]	["To%20work%20late%20into%20the%20night."]	Britain, 17th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/burn-the-midnight-oil.mp3	work,effort	burn the midnight oil
burn your bridges | burn your boats	["If%20you%20insult%20the%20boss%20when%20you%20leave%2C%20you%27ll%20be%20burning%20your%20bridges%20and%20you%27ll%20never%20be%20able%20to%20go%20back%20to%20work%20there%20again.","I%20knew%20I%27d%20be%20burning%20my%20boats%20if%20I%20dropped%20out%20of%20school%2C%20but%20I%20didn%27t%20care%20because%20I%20was%20determined%20to%20be%20a%20photographer."]	["You%20have%20burned%20your%20bridges%2C%20or%20burned%20your%20boats%2C%20if%20you%20were%20in%20a%20situation%20and%20you%20then%20left%20it%20after%20doing%20something%20that%20made%20it%20impossible%20to%20go%20back%20there.",""]	NA	NA	NA	B,Structures,Transport	burn your bridges,burn your boats
Bust a move	["That%20new%20cheerleader%20is%20amazing%20-%20she%27s%20really%20busting%20some%20moves."]	["Dance%20in%20a%20stylish%20way."]	USA, late 20th century.	Worldwide, amongst younger generations.	https://www.phrases.org.uk/idioms/audio/bust-a-move.mp3	dance,america	bust a move
Buy a lemon	["I%20thought%20that%20my%20new%20VW%20was%20top%20of%20the%20range%20but%20it%27s%20never%20out%20of%20the%20repair%20garage%20-%20a%20real%20lemon."]	["Waste%20money%20by%20purchasing%20a%20car%20that%20is%20frequently%20faulty."]	USA, early 20th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/buy-a-lemon.mp3	food,fruit,america	buy a lemon
by the book	["The%20match%20officials%20in%20the%20golf%20tournament%20acted%20strictly%20by%20the%20book%20when%20they%20disqualified%20a%20player%20for%20marking%20down%20the%20wrong%20score%20on%20his%20score%20card.","The%20embassy%20officials%20process%20visa%20applications%20by%20the%20book%20these%20days%2C%20so%20it%27s%20harder%20to%20get%20one%20than%20it%20was%20when%20they%20weren%27t%20so%20strict."]	["If%20you%20do%20something%20by%20the%20book%2C%20you%20do%20it%20strictly%20according%20to%20the%20rules%20or%20the%20official%20procedures.",""]	NA	NA	NA	B,Law	by the book
by word of mouth	["Word%20of%20mouth%20made%20this%20movie%20a%20hit.%20A%20few%20people%20saw%20it%20and%20told%20their%20friends%20about%20it%2C%20and%20then%20they%20told%20more%20people%20about%20it%2C%20and%20before%20long%20everyone%20was%20going%20to%20see%20it.","The%20best%20possible%20marketing%20tool%20is%20word%20of%20mouth%2C%20but%20a%20product%20has%20to%20be%20extremely%20good%20to%20earn%20it."]	["If%20something%20becomes%20well-known%20by%20word%20of%20mouth%2C%20it%20becomes%20well-known%20because%20people%20are%20telling%20each%20other%20about%20it%2C%20and%20not%20because%20of%20advertising%20or%20other%20marketing%20tools.",""]	NA	NA	NA	B,Body	by word of mouth
Calendar year	["The%20tax%20report%20shows%20our%20earnings%20for%20a%20full%20calendar%20year."]	["Twelve%20months%20beginning%20from%20the%20first%20of%20January."]	Britain, 17th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/calendar-year.mp3	date	calendar year
call a spade a spade	["I%20should%20warn%20you%20that%20Sandra%20calls%20a%20spade%20a%20spade%2C%20so%20if%20she%20thinks%20you%20say%20something%20wrong%20or%20make%20a%20mistake%2C%20she%27ll%20say%20so.","Sometimes%20it%27s%20good%20to%20call%20a%20spade%20a%20spade%2C%20but%20sometimes%20it%27s%20better%20to%20be%20more%20diplomatic%20in%20what%20you%20say."]	["If%20you%20call%20a%20spade%20a%20spade%2C%20you%20tell%20the%20truth%20in%20a%20straightforward%20and%20direct%20way%2C%20even%20if%20the%20truth%20is%20not%20pleasant.",""]	NA	NA	NA	C	call a spade a spade
call it a day	["We%20couldn%27t%20do%20any%20more%20work%20because%20of%20the%20rain%2C%20so%20we%20called%20it%20a%20day%20and%20went%20home.","After%20running%20a%20hotel%20for%20nearly%20thirty%20years%2C%20we%20decided%20to%20call%20it%20a%20day%20and%20do%20something%20else."]	["If%20you%20call%20it%20a%20day%2C%20you%20stop%20doing%20something%20that%27s%20usually%20related%20to%20work.",""]	NA	NA	NA	C	call it a day
Can't cut the mustard	["He%20got%20that%20promotion%20too%20soon.%20He%20can%27t%20really%20cut%20the%20mustard."]	["Unable%20to%20meet%20the%20demands%20put%20upon%20you."]	USA, 19th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/cant-cut-the-mustard.mp3	food,america	can't cut the mustard
can't see the forest for the trees	["I%20don%27t%20think%20we%20can%20see%20the%20forest%20for%20the%20trees%20at%20this%20stage%2C%20so%20let%27s%20get%20an%20outsider%20to%20take%20a%20look%20at%20the%20project%20and%20give%20us%20a%20progress%20report.","Mark%20is%20so%20focused%20on%20product%20details%20that%20he%20can%27t%20see%20the%20forest%20for%20the%20trees%20when%20it%20comes%20to%20the%20overall%20needs%20of%20the%20company."]	["If%20you%20can%27t%20see%20the%20forest%20for%20the%20trees%2C%20you%20can%27t%20see%20the%20whole%20situation%20clearly%20because%20you%27re%20looking%20too%20closely%20at%20small%20details%2C%20or%20because%20you%27re%20too%20closely%20involved.",""	NA	NA	NA	American,C,Nature	can't see the forest for the trees
