idiom	meaning	example	origin	used_at	pronunciation_audio	tags	slugs	meaning encoded	example encoded
Bought the farm	["Died, especially in a violent way which may give rise to an insurance claim."]	["Henry's parachute failed at ",",","feet - he really bought the farm."]	USA, 20th century.	USA.	https://www.phrases.org.uk/idioms/audio/bought-the-farm.mp3	death,euphemism,america	bought the farm	["Died%2C%20especially%20in%20a%20violent%20way%20which%20may%20give%20rise%20to%20an%20insurance%20claim."]	["Henry%27s%20parachute%20failed%20at%20","%2C","feet%20-%20he%20really%20bought%20the%20farm."]
Brahms and Lizst	["Cockney rhyming slang for pissed."]	["Two bottles of wine at home and then four pints in the pub - he was totally Brahms by ten-o-clock."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/brahms-and-lizst.mp3	cockney_rhyming_slang,drink,slang,music	brahms and lizst	["Cockney%20rhyming%20slang%20for%20pissed."]	["Two%20bottles%20of%20wine%20at%20home%20and%20then%20four%20pints%20in%20the%20pub%20-%20he%20was%20totally%20Brahms%20by%20ten-o-clock."]
Brass monkey weather	["Extremely cold weather. The full expression is 'Cold enough to freeze the balls off a brass monkey'."]	["The weatherman says minus "," degrees and strong winds for tomorrow. That's brass monkey weather."]	The UK and USA in the early 20th century.	Worldwide, mostly among people in their 20/40s, as a slang expression.	https://www.phrases.org.uk/idioms/audio/brass-monkey-weather.mp3	animals,slang,weather	brass monkey weather	["Extremely%20cold%20weather.%20The%20full%20expression%20is%20%27Cold%20enough%20to%20freeze%20the%20balls%20off%20a%20brass%20monkey%27."]	["The%20weatherman%20says%20minus%20","%20degrees%20and%20strong%20winds%20for%20tomorrow.%20That%27s%20brass%20monkey%20weather."]
Brass tacks	["Cockney rhyming slang for facts."]	["I'm telling you brass tacks mate. Florida is bigger than England."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/brass-tacks.mp3	cockney_rhyming_slang	brass tacks	["Cockney%20rhyming%20slang%20for%20facts."]	["I%27m%20telling%20you%20brass%20tacks%20mate.%20Florida%20is%20bigger%20than%20England."]
Break a leg	["A superstitious way to wish 'good luck' to an actor before a performance while avoiding saying 'good luck' out loud, which is considered unlucky."]	["People often said 'break a leg' to Olivier, but he didn't really need it."]	USA, 20th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/break-a-leg.mp3	theatre,the_human_body,america	break a leg	["A%20superstitious%20way%20to%20wish%20%27good%20luck%27%20to%20an%20actor%20before%20a%20performance%20while%20avoiding%20saying%20%27good%20luck%27%20out%20loud%2C%20which%20is%20considered%20unlucky."]	["People%20often%20said%20%27break%20a%20leg%27%20to%20Olivier%2C%20but%20he%20didn%27t%20really%20need%20it."]
break the ice	["If you break the ice you say or do something to create a more relaxed atmosphere when meeting people for the first time.",""]	["What do you do in a new class to help break the ice and get students talking?","Knowing how to break the ice is one of those social skills that will come with experience and maturity."]	Probably metaphorical, from the fact that ships called ice-breakers cut channels through ice floes to allow other ships to pass through.			b	break the ice	["If%20you%20break%20the%20ice%20you%20say%20or%20do%20something%20to%20create%20a%20more%20relaxed%20atmosphere%20when%20meeting%20people%20for%20the%20first%20time.",""]	["What%20do%20you%20do%20in%20a%20new%20class%20to%20help%20break%20the%20ice%20and%20get%20students%20talking%3F","Knowing%20how%20to%20break%20the%20ice%20is%20one%20of%20those%20social%20skills%20that%20will%20come%20with%20experience%20and%20maturity."]
break your heart	["If someone breaks your heart, they cause you a lot of emotional pain by ending a romantic relationship, or by deeply hurting you in some other way.",""]	["I loved Monty, and he broke my heart when he left me and went off with someone else.","Sue says her heart has been broken too many times, and she won't let herself fall in love again."]				b,body	break your heart	["If%20someone%20breaks%20your%20heart%2C%20they%20cause%20you%20a%20lot%20of%20emotional%20pain%20by%20ending%20a%20romantic%20relationship%2C%20or%20by%20deeply%20hurting%20you%20in%20some%20other%20way.",""]	["I%20loved%20Monty%2C%20and%20he%20broke%20my%20heart%20when%20he%20left%20me%20and%20went%20off%20with%20someone%20else.","Sue%20says%20her%20heart%20has%20been%20broken%20too%20many%20times%2C%20and%20she%20won%27t%20let%20herself%20fall%20in%20love%20again."]
Breast is best	["Slogan of breastfeeding campaign."]	["I bottle-fed all my kids. I know they say breast is best but they all lived to tell the tale."]			https://www.phrases.org.uk/idioms/audio/breast-is-best.mp3	family,the_human_body,adage	breast is best	["Slogan%20of%20breastfeeding%20campaign."]	["I%20bottle-fed%20all%20my%20kids.%20I%20know%20they%20say%20breast%20is%20best%20but%20they%20all%20lived%20to%20tell%20the%20tale."]
Bricks and mortar	["Cockney rhyming slang for daughter."]	["The girls got into trouble but her mother and I still love them - they are our bricks and mortars after all."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/bricks-and-mortar.mp3	cockney_rhyming_slang,family	bricks and mortar	["Cockney%20rhyming%20slang%20for%20daughter."]	["The%20girls%20got%20into%20trouble%20but%20her%20mother%20and%20I%20still%20love%20them%20-%20they%20are%20our%20bricks%20and%20mortars%20after%20all."]
Brighton Pier	["Cockney rhyming slang for queer (i.e. homosexual)."]	["Quite appropriate that James lives with Julian in Brighton - they are Brighton Pier after all."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/brighton-pier.mp3	cockney_rhyming_slang,location	brighton pier	["Cockney%20rhyming%20slang%20for%20queer%20%28i.e.%20homosexual%29."]	["Quite%20appropriate%20that%20James%20lives%20with%20Julian%20in%20Brighton%20-%20they%20are%20Brighton%20Pier%20after%20all."]
Bring your A game	["Perform to the best of your ability."]	["The cup game tomorrow is the biggest in the club's history. Everyone in the team needs to bring his A game."]	USA, 20th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/bring-your-a-game.mp3	sport,effort,america	bring your a game	["Perform%20to%20the%20best%20of%20your%20ability."]	["The%20cup%20game%20tomorrow%20is%20the%20biggest%20in%20the%20club%27s%20history.%20Everyone%20in%20the%20team%20needs%20to%20bring%20his%20A%20game."]
Brown bread	["Cockney rhyming slang for dead."]	["That bird just landed on the live power cable. He's brown bread for sure."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/brown-bread.mp3	cockney_rhyming_slang,death,food	brown bread	["Cockney%20rhyming%20slang%20for%20dead."]	["That%20bird%20just%20landed%20on%20the%20live%20power%20cable.%20He%27s%20brown%20bread%20for%20sure."]
Brown out	[" A partial failure of the electricity supply. "," The exposing of one's buttocks in public."]	[" After the lightning struck there was a puff of smoke and everything went dim. Looks like a brown out."]	Australia.	Common in Australia, but used elsewhere too.	https://www.phrases.org.uk/idioms/audio/brown-out.mp3	colour	brown out	["%20A%20partial%20failure%20of%20the%20electricity%20supply.%20","%20The%20exposing%20of%20one%27s%20buttocks%20in%20public."]	["%20After%20the%20lightning%20struck%20there%20was%20a%20puff%20of%20smoke%20and%20everything%20went%20dim.%20Looks%20like%20a%20brown%20out."]
Brum brum	["Child's play idiom expressing the sound of a vehicle."]	["Mummy, my toy train goes chuff, chuff, chuff and my car goes brum, brum."]		Worldwide.	https://www.phrases.org.uk/idioms/audio/brum-brum.mp3	childhood,reduplication	brum brum	["Child%27s%20play%20idiom%20expressing%20the%20sound%20of%20a%20vehicle."]	["Mummy%2C%20my%20toy%20train%20goes%20chuff%2C%20chuff%2C%20chuff%20and%20my%20car%20goes%20brum%2C%20brum."]
Bucket list	["A list of things you plan to do before you 'kick the bucket' (die). Often a list of fanciful ideas rather than of concrete plans."]	["I've always wanted to go to Japan. I guess I'll add that to my bucket list."]	USA, late 20th century - popularized by the title of the film The Bucket List (2007).	Worldwide.	https://www.phrases.org.uk/idioms/audio/bucket-list.mp3	death,household_items,america	bucket list	["A%20list%20of%20things%20you%20plan%20to%20do%20before%20you%20%27kick%20the%20bucket%27%20%28die%29.%20Often%20a%20list%20of%20fanciful%20ideas%20rather%20than%20of%20concrete%20plans."]	["I%27ve%20always%20wanted%20to%20go%20to%20Japan.%20I%20guess%20I%27ll%20add%20that%20to%20my%20bucket%20list."]
Burn the midnight oil	["To work late into the night."]	["Sorry, I can't come to the pub. This report's due at ","m and I'll need to burn the midnight oil if I am going to get it finished."]	Britain, 17th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/burn-the-midnight-oil.mp3	work,effort	burn the midnight oil	["To%20work%20late%20into%20the%20night."]	["Sorry%2C%20I%20can%27t%20come%20to%20the%20pub.%20This%20report%27s%20due%20at%20","m%20and%20I%27ll%20need%20to%20burn%20the%20midnight%20oil%20if%20I%20am%20going%20to%20get%20it%20finished."]
burn your bridges | burn your boats	["You have burned your bridges, or burned your boats, if you were in a situation and you then left it after doing something that made it impossible to go back there.",""]	["If you insult the boss when you leave, you'll be burning your bridges and you'll never be able to go back to work there again.","I knew I'd be burning my boats if I dropped out of school, but I didn't care because I was determined to be a photographer."]				b,structures,transport	burn your bridges,burn your boats	["You%20have%20burned%20your%20bridges%2C%20or%20burned%20your%20boats%2C%20if%20you%20were%20in%20a%20situation%20and%20you%20then%20left%20it%20after%20doing%20something%20that%20made%20it%20impossible%20to%20go%20back%20there.",""]	["If%20you%20insult%20the%20boss%20when%20you%20leave%2C%20you%27ll%20be%20burning%20your%20bridges%20and%20you%27ll%20never%20be%20able%20to%20go%20back%20to%20work%20there%20again.","I%20knew%20I%27d%20be%20burning%20my%20boats%20if%20I%20dropped%20out%20of%20school%2C%20but%20I%20didn%27t%20care%20because%20I%20was%20determined%20to%20be%20a%20photographer."]
Bust a move	["Dance in a stylish way."]	["That new cheerleader is amazing - she's really busting some moves."]	USA, late 20th century.	Worldwide, amongst younger generations.	https://www.phrases.org.uk/idioms/audio/bust-a-move.mp3	dance,america	bust a move	["Dance%20in%20a%20stylish%20way."]	["That%20new%20cheerleader%20is%20amazing%20-%20she%27s%20really%20busting%20some%20moves."]
Buy a lemon	["Waste money by purchasing a car that is frequently faulty."]	["I thought that my new VW was top of the range but it's never out of the repair garage - a real lemon."]	USA, early 20th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/buy-a-lemon.mp3	food,fruit,america	buy a lemon	["Waste%20money%20by%20purchasing%20a%20car%20that%20is%20frequently%20faulty."]	["I%20thought%20that%20my%20new%20VW%20was%20top%20of%20the%20range%20but%20it%27s%20never%20out%20of%20the%20repair%20garage%20-%20a%20real%20lemon."]
by the book	["If you do something by the book, you do it strictly according to the rules or the official procedures.",""]	["The match officials in the golf tournament acted strictly by the book when they disqualified a player for marking down the wrong score on his score card.","The embassy officials process visa applications by the book these days, so it's harder to get one than it was when they weren't so strict."]				b,law	by the book	["If%20you%20do%20something%20by%20the%20book%2C%20you%20do%20it%20strictly%20according%20to%20the%20rules%20or%20the%20official%20procedures.",""]	["The%20match%20officials%20in%20the%20golf%20tournament%20acted%20strictly%20by%20the%20book%20when%20they%20disqualified%20a%20player%20for%20marking%20down%20the%20wrong%20score%20on%20his%20score%20card.","The%20embassy%20officials%20process%20visa%20applications%20by%20the%20book%20these%20days%2C%20so%20it%27s%20harder%20to%20get%20one%20than%20it%20was%20when%20they%20weren%27t%20so%20strict."]
by word of mouth	["If something becomes well-known by word of mouth, it becomes well-known because people are telling each other about it, and not because of advertising or other marketing tools.",""]	["Word of mouth made this movie a hit. A few people saw it and told their friends about it, and then they told more people about it, and before long everyone was going to see it.","The best possible marketing tool is word of mouth, but a product has to be extremely good to earn it."]				b,body	by word of mouth	["If%20something%20becomes%20well-known%20by%20word%20of%20mouth%2C%20it%20becomes%20well-known%20because%20people%20are%20telling%20each%20other%20about%20it%2C%20and%20not%20because%20of%20advertising%20or%20other%20marketing%20tools.",""]	["Word%20of%20mouth%20made%20this%20movie%20a%20hit.%20A%20few%20people%20saw%20it%20and%20told%20their%20friends%20about%20it%2C%20and%20then%20they%20told%20more%20people%20about%20it%2C%20and%20before%20long%20everyone%20was%20going%20to%20see%20it.","The%20best%20possible%20marketing%20tool%20is%20word%20of%20mouth%2C%20but%20a%20product%20has%20to%20be%20extremely%20good%20to%20earn%20it."]
